"Distance","Profile"
"0,00050","0,03"
"0,00100","0,03"
"0,00150","0,04"
"0,00200","0,03"
"0,00250","0,03"
"0,00300","0,03"
"0,00350","0,03"
"0,00400","0,03"
"0,00450","0,02"
"0,00500","0,03"
"0,00550","0,04"
"0,00600","0,04"
"0,00650","0,04"
"0,00700","0,04"
"0,00750","0,04"
"0,00800","0,04"
"0,00850","0,03"
"0,00900","0,02"
"0,00950","0,02"
"0,01000","0,01"
"0,01050","0,01"
"0,01100","0,02"
"0,01150","0,02"
"0,01200","0,03"
"0,01250","0,03"
"0,01300","0,04"
"0,01350","0,04"
"0,01400","0,04"
"0,01450","0,04"
"0,01500","0,03"
"0,01550","0,03"
"0,01600","0,03"
"0,01650","0,03"
"0,01700","0,03"
"0,01750","0,03"
"0,01800","0,03"
"0,01850","0,02"
"0,01900","0,03"
"0,01950","0,03"
"0,02000","0,03"
"0,02050","0,03"
"0,02100","0,04"
"0,02150","0,04"
"0,02200","0,04"
"0,02250","0,04"
"0,02300","0,03"
"0,02350","0,02"
"0,02400","0,01"
"0,02450","0,00"
"0,02500","0,01"
"0,02550","0,02"
"0,02600","0,02"
"0,02650","0,02"
"0,02700","0,03"
"0,02750","0,03"
"0,02800","0,03"
"0,02850","0,02"
"0,02900","0,02"
"0,02950","0,02"
"0,03000","0,03"
"0,03050","0,03"
"0,03100","0,04"
"0,03150","0,03"
"0,03200","0,04"
"0,03250","0,03"
"0,03300","0,03"
"0,03350","0,02"
"0,03400","0,02"
"0,03450","0,03"
"0,03500","0,03"
"0,03550","0,03"
"0,03600","0,03"
"0,03650","0,03"
"0,03700","0,03"
"0,03750","0,03"
"0,03800","0,03"
"0,03850","0,03"
"0,03900","0,02"
"0,03950","0,02"
"0,04000","0,02"
"0,04050","0,02"
"0,04100","0,02"
"0,04150","0,02"
"0,04200","0,03"
"0,04250","0,03"
"0,04300","0,03"
"0,04350","0,03"
"0,04400","0,03"
"0,04450","0,03"
"0,04500","0,02"
"0,04550","0,02"
"0,04600","0,02"
"0,04650","0,03"
"0,04700","0,03"
"0,04750","0,03"
"0,04800","0,03"
"0,04850","0,03"
"0,04900","0,03"
"0,04950","0,03"
"0,05000","0,03"
"0,05050","0,03"
"0,05100","0,03"
"0,05150","0,03"
"0,05200","0,03"
"0,05250","0,03"
"0,05300","0,03"
"0,05350","0,03"
"0,05400","0,03"
"0,05450","0,03"
"0,05500","0,03"
"0,05550","0,03"
"0,05600","0,03"
"0,05650","0,03"
"0,05700","0,02"
"0,05750","0,02"
"0,05800","0,02"
"0,05850","0,02"
"0,05900","0,01"
"0,05950","0,01"
"0,06000","0,01"
"0,06050","0,01"
"0,06100","0,01"
"0,06150","0,01"
"0,06200","0,02"
"0,06250","0,02"
"0,06300","0,01"
"0,06350","0,01"
"0,06400","0,01"
"0,06450","0,01"
"0,06500","0,01"
"0,06550","0,01"
"0,06600","0,01"
"0,06650","0,01"
"0,06700","0,00"
"0,06750","0,00"
"0,06800","0,00"
"0,06850","0,00"
"0,06900","0,00"
"0,06950","0,00"
"0,07000","0,00"
"0,07050","0,00"
"0,07100","0,00"
"0,07150","0,00"
"0,07200","0,00"
"0,07250","0,00"
"0,07300","0,00"
"0,07350","0,00"
"0,07400","0,00"
"0,07450","0,01"
"0,07500","0,01"
"0,07550","0,01"
"0,07600","0,01"
"0,07650","0,01"
"0,07700","0,01"
"0,07750","0,02"
"0,07800","0,02"
"0,07850","0,03"
"0,07900","0,03"
"0,07950","0,04"
"0,08000","0,04"
"0,08050","0,04"
"0,08100","0,03"
"0,08150","0,03"
"0,08200","0,02"
"0,08250","0,02"
"0,08300","0,01"
"0,08350","0,01"
"0,08400","0,01"
"0,08450","0,02"
"0,08500","0,03"
"0,08550","0,04"
"0,08600","0,04"
"0,08650","0,04"
"0,08700","0,03"
"0,08750","0,03"
"0,08800","0,03"
"0,08850","0,02"
"0,08900","0,02"
"0,08950","0,01"
"0,09000","0,01"
"0,09050","0,01"
"0,09100","0,00"
"0,09150","0,00"
"0,09200","0,00"
"0,09250","0,00"
"0,09300","0,01"
"0,09350","0,01"
"0,09400","0,01"
"0,09450","0,01"
"0,09500","0,01"
"0,09550","0,00"
"0,09600","-0,01"
"0,09650","-0,01"
"0,09700","-0,01"
"0,09750","-0,02"
"0,09800","-0,01"
"0,09850","-0,01"
"0,09900","0,00"
"0,09950","0,00"
"0,10000","0,01"
"0,10050","0,02"
"0,10100","0,02"
"0,10150","0,02"
"0,10200","0,03"
"0,10250","0,03"
"0,10300","0,03"
"0,10350","0,03"
"0,10400","0,03"
"0,10450","0,03"
"0,10500","0,03"
"0,10550","0,03"
"0,10600","0,03"
"0,10650","0,03"
"0,10700","0,03"
"0,10750","0,04"
"0,10800","0,04"
"0,10850","0,04"
"0,10900","0,03"
"0,10950","0,03"
"0,11000","0,03"
"0,11050","0,03"
"0,11100","0,03"
"0,11150","0,03"
"0,11200","0,03"
"0,11250","0,03"
"0,11300","0,02"
"0,11350","0,02"
"0,11400","0,02"
"0,11450","0,01"
"0,11500","0,01"
"0,11550","0,01"
"0,11600","0,01"
"0,11650","0,01"
"0,11700","0,01"
"0,11750","0,02"
"0,11800","0,01"
"0,11850","0,01"
"0,11900","0,01"
"0,11950","0,00"
"0,12000","0,00"
"0,12050","0,00"
"0,12100","0,00"
"0,12150","0,00"
"0,12200","0,00"
"0,12250","0,00"
"0,12300","0,00"
"0,12350","0,01"
"0,12400","0,01"
"0,12450","0,02"
"0,12500","0,03"
"0,12550","0,03"
"0,12600","0,04"
"0,12650","0,04"
"0,12700","0,04"
"0,12750","0,04"
"0,12800","0,05"
"0,12850","0,05"
"0,12900","0,05"
"0,12950","0,04"
"0,13000","0,04"
"0,13050","0,03"
"0,13100","0,03"
"0,13150","0,04"
"0,13200","0,05"
"0,13250","0,05"
"0,13300","0,06"
"0,13350","0,06"
"0,13400","0,05"
"0,13450","0,05"
"0,13500","0,05"
"0,13550","0,05"
"0,13600","0,05"
"0,13650","0,05"
"0,13700","0,05"
"0,13750","0,04"
"0,13800","0,03"
"0,13850","0,03"
