Time 	Distance	 Laps	 mu	FrictionForce
0,100	0	0,00000	0,18478	0,55435
0,200	0,00271164323203266	0,14286	0,16299	0,48897
0,300	0,00542328646406531	0,28571	0,17313	0,51940
0,400	0,0081349303945899	0,42857	0,16669	0,50008
0,500	0,0108465729281306	0,57143	0,16878	0,50632
0,600	0,0135582163929939	0,71429	0,18471	0,55413
0,700	0,0162698607891798	0,85714	0,16980	0,50941
0,800	0,0189815033227205	1,00000	0,16366	0,49097
0,900	0,02135419100523	1,12500	0,16622	0,49867
1,000	0,0237268786877394	1,25000	0,17345	0,52035
1,100	0,0260995663702488	1,37500	0,16725	0,50175
1,200	0,0284722559154034	1,50000	0,17445	0,52334
1,300	0,0308449435979128	1,62500	0,17257	0,51771
1,400	0,0332176312804222	1,75000	0,17847	0,53541
1,500	0,0355903171002865	1,87500	0,16983	0,50950
1,600	0,0379630066454411	2,00000	0,16274	0,48820
1,700	0,0403356924653053	2,12500	0,17158	0,51473
1,800	0,0427083820104599	2,25000	0,17422	0,52266
1,900	0,0450810715556145	2,37500	0,17082	0,51246
2,000	0,0474537573754787	2,50000	0,17746	0,53238
2,100	0,049826443195343	2,62500	0,17541	0,52622
2,200	0,0521991327404976	2,75000	0,17616	0,52847
2,300	0,0545718222856522	2,87500	0,16791	0,50374
2,400	0,0569445081055164	3,00000	0,16532	0,49597
2,500	0,0596561506390572	3,14286	0,17462	0,52386
2,600	0,0623677968978882	3,28571	0,17292	0,51876
2,700	0,0650794357061386	3,42857	0,17459	0,52378
2,800	0,0677910819649696	3,57143	0,17442	0,52325
2,900	0,0705027282238007	3,71429	0,18054	0,54162
3,000	0,0732143670320511	3,85714	0,17480	0,52441
3,100	0,0759260132908821	4,00000	0,16636	0,49908
3,200	0,0782987028360367	4,12500	0,17066	0,51199
3,300	0,0806713849306107	4,25000	0,17428	0,52285
3,400	0,0830440744757652	4,37500	0,17029	0,51086
3,500	0,0854167640209198	4,50000	0,18014	0,54043
3,600	0,0877894535660744	4,62500	0,17566	0,52698
3,700	0,0901621431112289	4,75000	0,17908	0,53723
3,800	0,0925348252058029	4,87500	0,17327	0,51981
3,900	0,0949075147509575	5,00000	0,16495	0,49485
4,000	0,0976191610097885	5,14286	0,17442	0,52325
4,100	0,100330799818039	5,28571	0,17458	0,52374
4,200	0,10304244607687	5,42857	0,17282	0,51845
4,300	0,10575408488512	5,57143	0,17655	0,52966
4,400	0,108465731143951	5,71429	0,17948	0,53845
4,500	0,111177369952202	5,85714	0,17964	0,53891
4,600	0,113889016211033	6,00000	0,17195	0,51584
4,700	0,116261705756187	6,12500	0,16911	0,50733
4,800	0,118634387850761	6,25000	0,17325	0,51976
4,900	0,121007077395916	6,37500	0,17130	0,51390
5,000	0,123379766941071	6,50000	0,17737	0,53210
5,100	0,125752449035645	6,62500	0,17530	0,52590
5,200	0,128125131130219	6,75000	0,18277	0,54832
5,300	0,130497828125954	6,87500	0,17708	0,53124
5,400	0,132870510220528	7,00000	0,16717	0,50152
5,500	0,135582149028778	7,14286	0,17446	0,52339
5,600	0,13829380273819	7,28571	0,17376	0,52128
5,700	0,14100544154644	7,42857	0,17053	0,51158
5,800	0,143717095255852	7,57143	0,17948	0,53845
5,900	0,146428734064102	7,71429	0,17666	0,52998
6,000	0,149140387773514	7,85714	0,18152	0,54456
6,100	0,151852026581764	8,00000	0,17850	0,53550
6,200	0,154224708676338	8,12500	0,16895	0,50686
6,300	0,156597405672073	8,25000	0,17301	0,51904
6,400	0,158970087766647	8,37500	0,17239	0,51718
6,500	0,161342769861221	8,50000	0,17373	0,52119
