Time 	Distance	 Laps	 µ	FrictionForce 
0,100	0	0,00000	0,13464	0,40392
0,200	0,00271164323203266	0,14286	0,10873	0,32618
0,300	0,00542328646406531	0,28571	0,12034	0,36101
0,400	0,0081349303945899	0,42857	0,11639	0,34916
0,500	0,0108465729281306	0,57143	0,09761	0,29283
0,600	0,0135582163929939	0,71429	0,08767	0,26300
0,700	0,0162698607891798	0,85714	0,08712	0,26136
0,800	0,0189815033227205	1,00000	0,09363	0,28089
0,900	0,02135419100523	1,12500	0,11278	0,33833
1,000	0,0237268786877394	1,25000	0,12058	0,36173
1,100	0,0260995663702488	1,37500	0,12126	0,36379
1,200	0,0284722559154034	1,50000	0,11196	0,33589
1,300	0,0308449435979128	1,62500	0,09604	0,28813
1,400	0,0332176312804222	1,75000	0,08855	0,26564
1,500	0,0355903171002865	1,87500	0,09066	0,27199
1,600	0,0379630066454411	2,00000	0,10461	0,31383
1,700	0,0403356924653053	2,12500	0,11757	0,35271
1,800	0,0427083820104599	2,25000	0,12283	0,36850
1,900	0,0450810715556145	2,37500	0,11999	0,35997
2,000	0,0474537573754787	2,50000	0,10716	0,32149
2,100	0,049826443195343	2,62500	0,09287	0,27862
2,200	0,0521991327404976	2,75000	0,08926	0,26777
2,300	0,0545718222856522	2,87500	0,09808	0,29423
2,400	0,0569445081055164	3,00000	0,11156	0,33469
2,500	0,0596561506390572	3,14286	0,12176	0,36527
2,600	0,0623677968978882	3,28571	0,12597	0,37792
2,700	0,0650794357061386	3,42857	0,11655	0,34963
2,800	0,0677910819649696	3,57143	0,09967	0,29901
2,900	0,0705027282238007	3,71429	0,09320	0,27959
3,000	0,0732143670320511	3,85714	0,09291	0,27873
3,100	0,0759260132908821	4,00000	0,10224	0,30673
3,200	0,0782987028360367	4,12500	0,12023	0,36069
3,300	0,0806713849306107	4,25000	0,12586	0,37758
3,400	0,0830440744757652	4,37500	0,12364	0,37093
3,500	0,0854167640209198	4,50000	0,11267	0,33800
3,600	0,0877894535660744	4,62500	0,09727	0,29182
3,700	0,0901621431112289	4,75000	0,09062	0,27187
3,800	0,0925348252058029	4,87500	0,09843	0,29529
3,900	0,0949075147509575	5,00000	0,11212	0,33635
4,000	0,0976191610097885	5,14286	0,12328	0,36985
4,100	0,100330799818039	5,28571	0,13017	0,39050
4,200	0,10304244607687	5,42857	0,12084	0,36252
4,300	0,10575408488512	5,57143	0,10484	0,31451
4,400	0,108465731143951	5,71429	0,09540	0,28620
4,500	0,111177369952202	5,85714	0,09529	0,28587
4,600	0,113889016211033	6,00000	0,10280	0,30840
4,700	0,116261705756187	6,12500	0,11961	0,35883
4,800	0,118634387850761	6,25000	0,12982	0,38946
4,900	0,121007077395916	6,37500	0,12824	0,38472
5,000	0,123379766941071	6,50000	0,11696	0,35087
5,100	0,125752449035645	6,62500	0,10165	0,30496
5,200	0,128125131130219	6,75000	0,09382	0,28145
5,300	0,130497828125954	6,87500	0,09786	0,29359
5,400	0,132870510220528	7,00000	0,11148	0,33444
5,500	0,135243207216263	7,12500	0,12577	0,37731
5,600	0,137615889310837	7,25000	0,13244	0,39732
5,700	0,139988571405411	7,37500	0,12670	0,38011
5,800	0,142361268401146	7,50000	0,11023	0,33070
5,900	0,144733965396881	7,62500	0,09699	0,29097
6,000	0,147106647491455	7,75000	0,09801	0,29402
6,100	0,149479329586029	7,87500	0,10405	0,31215
6,200	0,151852026581764	8,00000	0,11840	0,35521
6,300	0,154563665390015	8,14286	0,13242	0,39726
6,400	0,157275319099426	8,28571	0,13401	0,40203
6,500	0,159986957907677	8,42857	0,11946	0,35837
6,600	0,162698596715927	8,57143	0,10465	0,31394
6,700	0,165410235524178	8,71429	0,09888	0,29663
6,800	0,168121889233589	8,85714	0,09862	0,29586
6,900	0,17083352804184	9,00000	0,11109	0,33327
7,000	0,173206210136414	9,12500	0,12783	0,38348
7,100	0,175578907132149	9,25000	0,13560	0,40681
7,200	0,177951589226723	9,37500	0,13069	0,39206
7,300	0,180324286222458	9,50000	0,11603	0,34809
7,400	0,182696968317032	9,62500	0,09981	0,29944
7,500	0,185069650411606	9,75000	0,09899	0,29698
7,600	0,187442347407341	9,87500	0,10588	0,31765
7,700	0,189815029501915	10,00000	0,11798	0,35393
7,800	0,192526668310165	10,14286	0,13392	0,40176
7,900	0,195238322019577	10,28572	0,13786	0,41358
8,000	0,197949960827827	10,42857	0,12377	0,37132
8,100	0,200661599636078	10,57143	0,10888	0,32664
8,200	0,203373238444328	10,71429	0,10173	0,30520
8,300	0,20608489215374	10,85714	0,10093	0,30279
8,400	0,20879653096199	11,00000	0,11166	0,33498
8,500	0,211169213056564	11,12500	0,12705	0,38115
8,600	0,2135419100523	11,25000	0,13807	0,41421
8,700	0,215914592146873	11,37500	0,13541	0,40622
8,800	0,218287289142609	11,50000	0,12023	0,36070
8,900	0,220659971237183	11,62500	0,10289	0,30866
9,000	0,223032653331757	11,75000	0,10037	0,30111
9,100	0,225405350327492	11,87500	0,10741	0,32224
9,200	0,227778032422066	12,00000	0,11671	0,35013
9,300	0,23015071451664	12,12500	0,13557	0,40671
9,400	0,232523411512375	12,25000	0,14019	0,42058
9,500	0,234896093606949	12,37500	0,12947	0,38842
9,600	0,237268775701523	12,50000	0,11372	0,34115
9,700	0,239641472697258	12,62500	0,10307	0,30921
9,800	0,242014154791832	12,75000	0,10378	0,31134
9,900	0,244386851787567	12,87500	0,11096	0,33287
10,000	0,246759533882141	13,00000	0,12674	0,38022
10,100	0,249471172690392	13,14286	0,14033	0,42100
10,200	0,252182811498642	13,28571	0,13925	0,41775
10,300	0,254894465208054	13,42857	0,12286	0,36857
10,400	0,257606089115143	13,57143	0,10846	0,32538
10,500	0,260317742824554	13,71429	0,10235	0,30706
10,600	0,263029366731644	13,85714	0,10700	0,32100
10,700	0,265741020441055	14,00000	0,11821	0,35462
10,800	0,268113702535629	14,12500	0,13421	0,40262
10,900	0,270486414432526	14,25000	0,14258	0,42775
11,000	0,2728590965271	14,37500	0,13440	0,40321
11,100	0,275231778621674	14,50000	0,11811	0,35432
11,200	0,277604460716248	14,62500	0,10338	0,31014
11,300	0,279977142810822	14,75000	0,10533	0,31598
11,400	0,282349854707718	14,87500	0,11201	0,33604
11,500	0,284722536802292	15,00000	0,12443	0,37330
11,600	0,287434190511703	15,14286	0,14121	0,42362
11,700	0,290145814418793	15,28571	0,14228	0,42683
11,800	0,292857468128204	15,42857	0,12712	0,38136
11,900	0,295569121837616	15,57143	0,11248	0,33743
12,000	0,298280775547028	15,71429	0,10528	0,31585
12,100	0,300992399454117	15,85714	0,10645	0,31934
12,200	0,303704053163528	16,00000	0,11926	0,35779
12,300	0,306076735258102	16,12500	0,13276	0,39827
12,400	0,308449417352676	16,25000	0,14411	0,43233
12,500	0,31082209944725	16,37500	0,13921	0,41762
12,600	0,313194811344147	16,50000	0,12197	0,36591
12,700	0,315567493438721	16,62500	0,10545	0,31635
12,800	0,317940175533295	16,75000	0,10643	0,31928
12,900	0,320312857627869	16,87500	0,11227	0,33680
13,000	0,322685539722443	17,00000	0,12270	0,36811
13,100	0,325058221817017	17,12500	0,14220	0,42659
13,200	0,327430903911591	17,25000	0,14487	0,43462
13,300	0,329803615808487	17,37500	0,13259	0,39777
13,400	0,332176297903061	17,50000	0,11647	0,34941
13,500	0,334548979997635	17,62500	0,10676	0,32029
13,600	0,336921691894531	17,75000	0,10649	0,31948
13,700	0,339294373989105	17,87500	0,11815	0,35444
13,800	0,341667056083679	18,00000	0,13212	0,39636
13,900	0,344378709793091	18,14286	0,14557	0,43670
14,000	0,34709033370018	18,28571	0,14252	0,42756
14,100	0,349801987409592	18,42857	0,12576	0,37727
14,200	0,352513611316681	18,57143	0,10971	0,32913
14,300	0,355225265026093	18,71429	0,10751	0,32253
14,400	0,357936888933182	18,85714	0,11240	0,33720
14,500	0,360648542642593	19,00000	0,12227	0,36680
14,600	0,363021224737167	19,12500	0,14030	0,42089
14,700	0,365393936634064	19,25000	0,14777	0,44332
14,800	0,367766618728638	19,37500	0,13727	0,41182
14,900	0,370139300823212	19,50000	0,12052	0,36155
15,000	0,372511982917786	19,62500	0,10667	0,32001
15,100	0,37488466501236	19,75000	0,10806	0,32419
15,200	0,377257376909256	19,87500	0,11706	0,35117
15,300	0,37963005900383	20,00000	0,12962	0,38886
15,400	0,382341712713242	20,14286	0,14711	0,44133
15,500	0,385053336620331	20,28571	0,14466	0,43397
15,600	0,387764990329742	20,42857	0,12978	0,38935
15,700	0,390476614236832	20,57143	0,11599	0,34798
15,800	0,393188267946243	20,71429	0,10813	0,32439
15,900	0,395899891853333	20,85714	0,11020	0,33059
16,000	0,398611545562744	21,00000	0,12227	0,36681
16,100	0,400984227657318	21,12500	0,13786	0,41357
16,200	0,403356909751892	21,25000	0,14990	0,44969
16,300	0,405729621648788	21,37500	0,14291	0,42872
16,400	0,408102303743362	21,50000	0,12312	0,36936
16,500	0,410474985837936	21,62500	0,10799	0,32398
16,600	0,412847697734833	21,75000	0,10986	0,32959
16,700	0,415220379829407	21,87500	0,11602	0,34805
16,800	0,417593061923981	22,00000	0,12794	0,38382
16,900	0,419965744018555	22,12500	0,14752	0,44255
17,000	0,422338426113129	22,25000	0,14807	0,44422
17,100	0,424711108207703	22,37500	0,13434	0,40303
17,200	0,427083790302277	22,50000	0,11877	0,35632
17,300	0,429456502199173	22,62500	0,10768	0,32305
17,400	0,431829184293747	22,75000	0,11072	0,33216
17,500	0,434201866388321	22,87500	0,12306	0,36918
17,600	0,436574548482895	23,00000	0,13524	0,40571
17,700	0,439286202192307	23,14286	0,15141	0,45424
17,800	0,441997826099396	23,28571	0,14417	0,43251
17,900	0,444709479808807	23,42857	0,12720	0,38161
18,000	0,447421133518219	23,57143	0,11148	0,33443
18,100	0,450132787227631	23,71429	0,11189	0,33568
18,200	0,45284441113472	23,85715	0,11455	0,34366
18,300	0,455556064844131	24,00000	0,12626	0,37877
18,400	0,457928746938705	24,12500	0,14537	0,43611
18,500	0,460301429033279	24,25000	0,15156	0,45468
18,600	0,462674111127853	24,37500	0,13893	0,41679
18,700	0,46504682302475	24,50000	0,12314	0,36941
18,800	0,467419505119324	24,62500	0,10814	0,32441
18,900	0,469792187213898	24,75000	0,11022	0,33067
19,000	0,472164869308472	24,87500	0,12260	0,36780
19,100	0,474537551403046	25,00000	0,13194	0,39583
19,200	0,477249205112457	25,14286	0,15231	0,45693
19,300	0,479960829019547	25,28571	0,14829	0,44487
19,400	0,482672482728958	25,42857	0,13209	0,39626
19,500	0,48538413643837	25,57143	0,11586	0,34757
19,600	0,488095790147781	25,71429	0,11156	0,33469
19,700	0,490807414054871	25,85715	0,11288	0,33863
19,800	0,493519067764282	26,00000	0,12623	0,37869
19,900	0,495891749858856	26,12500	0,14256	0,42769
20,000	0,49826443195343	26,25000	0,15426	0,46278
20,100	0,500637114048004	26,37500	0,14319	0,42955
20,200	0,503009796142578	26,50000	0,12663	0,37990
20,300	0,505382537841797	26,62500	0,10963	0,32888
20,400	0,507755219936371	26,75000	0,11093	0,33280
20,500	0,510127902030945	26,87500	0,12062	0,36187
20,600	0,512500584125519	27,00000	0,13055	0,39164
20,700	0,514873266220093	27,12500	0,15178	0,45535
20,800	0,517245948314667	27,25000	0,15213	0,45639
20,900	0,519618630409241	27,37500	0,13653	0,40959
21,000	0,521991312503815	27,50000	0,11950	0,35851
21,100	0,524363994598389	27,62500	0,11059	0,33178
21,200	0,526736676692963	27,75000	0,11291	0,33873
21,300	0,529109358787537	27,87500	0,12476	0,37427
